Institution,ID,Lived,LivedB,Year,SRP,Pknown,Groupsize,GS,Males,Females,UD,PM,PF,PUD,SIRE,DAM
AHTARI,VLY16-00832 [216068/AHTARI],YES,1,2016,2 (1M/1F),1,4 (3M/1F),4,3,1,0,0.75,0.25,0,10,7
BARNES,MIG12-29454059,YES,1,2011,NA,0,3(1M/2NA),3,1,0,2,0.333,0,0.667,NA,NA
BARNES,MIG12-29453949,YES,1,2011,NA,0,3 (1M/2NA),3,1,0,2,0.333,0,0.667,NA,NA
BURSCOUGH,WMR18-01980 [BARNES/2641],YES,1,2018,5 (2M/3F),1,8 (4M/4F),8,4,4,0,0.5,0.5,0,10.5,7
BURSCOUGH,WMR18-01979,YES,1,2018,5 (2M/3F),1,8 (4M/4F),8,4,4,0,0.5,0.5,0,10.5,7
BURSCOUGH,WMR18-01978,YES,1,2018,5 (2M/3F),1,8 (4M/4F),8,4,4,0,0.5,0.5,0,10.5,7
BURSCOUGH,WMR18-01912 [BARNES/2640],YES,1,2018,2 (1M/1F),1,7 (4M/3F),7,4,3,0,0.571,0.429,0,7,7
BURSCOUGH,WMR18-01911 [BARNES/2642],YES,1,2018,2 (1M/1F),1,7 (4M/3F),7,4,3,0,0.571,0.429,0,7,7
BURSCOUGH,WMR18-01910 [BURSCOUGH/51683],YES,1,2018,2 (1M/1F),1,7(3M/4F),7,3,4,0,0.429,0.571,0,7,7
BURSCOUGH,WMR16-01613 [SLIMBRIDG/113939],YES,1,2016,2 (1M/1F),1,7(4M/3F),7,4,3,0,0.571,0.429,0,9,4
BURSCOUGH,WMR16-01612 [SLIMBRIDG/113937],YES,1,2016,2 (1M/1F),1,7(3M/4F),7,3,4,0,0.429,0.571,0,9,4
BURSCOUGH,WMR16-01611 [SLIMBRIDG/113932],YES,1,2016,2 (1M/1F),1,7(3M/4F),7,3,4,0,0.429,0.571,0,9,4
BURSCOUGH,WMR16-01514 [BURSCOUGH/D0516],YES,1,2013,NA,0,13(4M/8F/1NA),13,4,8,1,0.308,0.615,0.077,NA,NA
BURSCOUGH,WMR12-00051 [BURSCOUGH/3782],YES,1,2011,NA,0,14(3M/10F/1NA),14,3,10,1,0.214,0.714,0.071,NA,NA
BURSCOUGH,WMR12-0086 [SLIMBRIDG/7685],YES,1,2011,NA,0,14(3M/11F),14,3,11,0,0.214,0.786,0,NA,NA
BURSCOUGH,WMR13-00860 [SLIMBRIDG/11309],YES,1,2013,NA,0,13(4M/8F/1NA),13,4,8,1,0.308,0.615,0.077,NA,NA
BURSCOUGH,WMR13-00859 [BARNES/2206],YES,1,2013,NA,0,13(4M/8F/1NA),13,4,8,1,0.308,0.615,0.077,NA,NA
BURSCOUGH,WMR13-00858 [WLDFWL TR/2482],YES,1,2013,NA,0,13(3M/9F/1NA),13,3,9,1,0.231,0.692,0.077,NA,NA
BURSCOUGH,WMR13-00857 [SLIMBRIDG/11287],YES,1,2013,NA,0,14(4M/9F/1NA),14,4,9,1,0.286,0.643,0.071,NA,NA
